date,dewpoint_c,event_name,precip_1hr_mm,precip_6hr_mm,precip_mm,pressure_hpa,sky_cover_oktas,source,station_id,temp_c,timestamp,tmax_c,tmin_c,wind_avg_mps,wind_dir_deg,wind_gust_mps,wind_speed_mps
,21.7,Ts Imelda 2019,0.0,,,1015.9,4,,USW00012960,31.7,2019-09-15T00:00:00,,,,140,,6.7
,21.1,Ts Imelda 2019,0.0,,,1016.1,4,,USW00012960,30.0,2019-09-15T01:00:00,,,,150,,5.1
,20.6,Ts Imelda 2019,0.0,,,1016.5,2,,USW00012960,28.9,2019-09-15T02:00:00,,,,170,,2.1
,21.1,Ts Imelda 2019,0.0,,,1017.1,2,,USW00012960,26.1,2019-09-15T03:00:00,,,,0,,0.0
,21.1,Ts Imelda 2019,0.0,,,1017.6,2,,USW00012960,25.6,2019-09-15T04:00:00,,,,0,,0.0
,21.7,Ts Imelda 2019,0.0,,,1017.5,0,,USW00012960,24.4,2019-09-15T05:00:00,,,,0,,0.0
,21.7,Ts Imelda 2019,0.0,,,1017.7,0,,USW00012960,24.4,2019-09-15T06:00:00,,,,0,,0.0
,21.7,Ts Imelda 2019,0.0,,,1017.6,0,,USW00012960,24.4,2019-09-15T07:00:00,,,,0,,0.0
,21.7,Ts Imelda 2019,0.0,,,1017.4,0,,USW00012960,23.9,2019-09-15T08:00:00,,,,0,,0.0
,21.7,Ts Imelda 2019,0.0,,,1016.8,2,,USW00012960,25.0,2019-09-15T09:00:00,,,,0,,0.0
,21.7,Ts Imelda 2019,0.0,,,1016.8,2,,USW00012960,24.4,2019-09-15T10:00:00,,,,20,,1.5
,21.7,Ts Imelda 2019,0.0,,,1016.9,2,,USW00012960,24.4,2019-09-15T11:00:00,,,,320,,1.5
,21.7,Ts Imelda 2019,0.0,,,1016.9,2,,USW00012960,23.9,2019-09-15T12:00:00,,,,10,,1.5
,22.2,Ts Imelda 2019,0.0,,,1016.8,2,,USW00012960,25.0,2019-09-15T13:00:00,,,,10,,2.6
,22.8,Ts Imelda 2019,0.0,,,1017.2,2,,USW00012960,27.8,2019-09-15T14:00:00,,,,20,,3.6
