date,dewpoint_c,event_name,precip_1hr_mm,precip_6hr_mm,precip_mm,pressure_hpa,sky_cover_oktas,source,station_id,temp_c,timestamp,tmax_c,tmin_c,wind_avg_mps,wind_dir_deg,wind_gust_mps,wind_speed_mps
,20.6,Llano River 2018,0.3,5.0,,1006.4,6,,USW00012921,22.8,2018-10-09T00:00:00,,,,20,,2.1
,21.7,Llano River 2018,2.8,,,1007.0,,,USW00012921,22.8,2018-10-09T01:00:00,,,,200,,1.5
,21.7,Llano River 2018,8.4,,,1007.1,,,USW00012921,22.8,2018-10-09T02:00:00,,,,100,,3.6
,21.7,Llano River 2018,2.3,,,1007.4,8,,USW00012921,22.8,2018-10-09T03:00:00,,,,100,,2.1
,22.2,Llano River 2018,0.3,,,1006.7,,,USW00012921,23.3,2018-10-09T04:00:00,,,,100,,5.1
,22.8,Llano River 2018,-0.1,,,1006.7,,,USW00012921,23.3,2018-10-09T05:00:00,,,,120,,3.1
,22.8,Llano River 2018,-0.1,14.0,,1006.7,8,,USW00012921,23.9,2018-10-09T06:00:00,,,,130,,4.1
,22.2,Llano River 2018,-0.1,,,1005.4,,,USW00012921,23.3,2018-10-09T07:00:00,,,,130,,4.6
,22.8,Llano River 2018,-0.1,,,1005.2,,,USW00012921,23.9,2018-10-09T08:00:00,,,,140,,4.6
,22.2,Llano River 2018,0.0,,,1005.1,8,,USW00012921,23.9,2018-10-09T09:00:00,,,,150,,4.6
,22.2,Llano River 2018,0.0,,,1004.7,,,USW00012921,23.3,2018-10-09T10:00:00,,,,140,,4.6
,22.2,Llano River 2018,0.0,,,1004.4,,,USW00012921,23.9,2018-10-09T11:00:00,,,,130,,4.1
,22.2,Llano River 2018,-0.1,-0.1,,1004.7,8,,USW00012921,23.9,2018-10-09T12:00:00,,,,120,,4.1
,22.2,Llano River 2018,-0.1,,,1004.7,,,USW00012921,23.9,2018-10-09T13:00:00,,,,120,,4.6
,22.8,Llano River 2018,0.3,,,1004.3,,,USW00012921,23.9,2018-10-09T14:00:00,,,,120,,4.6
,23.3,Llano River 2018,-0.1,,,1005.1,8,,USW00012921,25.0,2018-10-09T15:00:00,,,,130,,5.1
,22.8,Llano River 2018,-0.1,,,1005.5,,,USW00012921,26.1,2018-10-09T16:00:00,,,,150,,6.2
,23.3,Llano River 2018,-0.1,,,1005.0,,,USW00012921,26.1,2018-10-09T17:00:00,,,,170,,4.6
,18.9,Llano River 2018,3.6,2.0,,1006.0,8,,USW00012921,21.1,2018-10-09T18:00:00,,,,310,,4.6
,18.9,Llano River 2018,13.0,,,1005.0,,,USW00012921,20.0,2018-10-09T19:00:00,,,,0,,0.0
,19.4,Llano River 2018,2.5,,,1004.7,,,USW00012921,20.6,2018-10-09T20:00:00,,,,230,,3.6
,20.6,Llano River 2018,-0.1,,,1002.9,6,,USW00012921,23.9,2018-10-09T21:00:00,,,,270,,6.2
,21.1,Llano River 2018,0.0,,,1002.8,4,,USW00012921,25.6,2018-10-09T22:00:00,,,,300,,3.1
,20.6,Llano River 2018,0.0,,,1003.4,,,USW00012921,25.6,2018-10-09T23:00:00,,,,320,,1.5
,20.0,Llano River 2018,0.0,18.0,,1004.2,6,,USW00012921,25.6,2018-10-10T00:00:00,,,,60,,3.1
,20.6,Llano River 2018,0.0,,,1004.8,,,USW00012921,23.9,2018-10-10T01:00:00,,,,50,,2.1
,20.0,Llano River 2018,0.0,,,1005.5,,,USW00012921,22.2,2018-10-10T02:00:00,,,,10,,1.5
,19.4,Llano River 2018,0.0,,,1006.6,2,,USW00012921,21.7,2018-10-10T03:00:00,,,,10,,2.1
,18.9,Llano River 2018,0.0,,,1007.4,4,,USW00012921,21.1,2018-10-10T04:00:00,,,,10,,1.5
,18.9,Llano River 2018,0.0,,,1007.7,2,,USW00012921,20.6,2018-10-10T05:00:00,,,,0,,0.0
,18.3,Llano River 2018,0.0,,,1007.9,2,,USW00012921,20.0,2018-10-10T06:00:00,,,,320,,1.5
,17.8,Llano River 2018,0.0,,,1007.9,2,,USW00012921,18.9,2018-10-10T07:00:00,,,,310,,2.1
,17.2,Llano River 2018,0.0,,,1007.9,2,,USW00012921,18.3,2018-10-10T08:00:00,,,,320,,1.5
,17.8,Llano River 2018,0.0,,,1007.7,2,,USW00012921,18.9,2018-10-10T09:00:00,,,,320,,1.5
,17.2,Llano River 2018,0.0,,,1008.0,2,,USW00012921,18.3,2018-10-10T10:00:00,,,,320,,1.5
,17.2,Llano River 2018,0.0,,,1008.9,2,,USW00012921,18.3,2018-10-10T11:00:00,,,,320,,2.6
,16.7,Llano River 2018,0.0,,,1009.4,0,,USW00012921,18.3,2018-10-10T12:00:00,,,,320,,3.6
,16.7,Llano River 2018,0.0,,,1009.9,2,,USW00012921,17.8,2018-10-10T13:00:00,,,,300,,2.6
,17.8,Llano River 2018,0.0,,,1010.9,2,,USW00012921,20.6,2018-10-10T14:00:00,,,,320,,4.1
,17.8,Llano River 2018,0.0,,,1011.7,2,,USW00012921,23.3,2018-10-10T15:00:00,,,,360,,4.6
,16.1,Llano River 2018,0.0,,,1012.3,2,,USW00012921,24.4,2018-10-10T16:00:00,,,,20,,5.1
,16.7,Llano River 2018,0.0,,,1012.3,2,,USW00012921,24.4,2018-10-10T17:00:00,,,,10,,4.1
,16.1,Llano River 2018,0.0,,,1012.4,2,,USW00012921,25.0,2018-10-10T18:00:00,,,,30,,3.6
,16.1,Llano River 2018,0.0,,,1011.8,2,,USW00012921,25.6,2018-10-10T19:00:00,,,,50,,3.1
,16.7,Llano River 2018,0.0,,,1010.9,2,,USW00012921,26.7,2018-10-10T20:00:00,,,,40,,5.1
,15.6,Llano River 2018,0.0,,,1010.7,2,,USW00012921,27.2,2018-10-10T21:00:00,,,,,,2.1
,16.1,Llano River 2018,0.0,,,1010.5,2,,USW00012921,27.8,2018-10-10T22:00:00,,,,,,1.5
,15.0,Llano River 2018,0.0,,,1010.4,2,,USW00012921,26.7,2018-10-10T23:00:00,,,,60,,3.6
,15.6,Llano River 2018,,,,1010.8,2,,USW00012921,25.0,2018-10-11T00:00:00,,,,80,,3.6
,16.7,Llano River 2018,0.0,,,1011.8,2,,USW00012921,21.7,2018-10-11T01:00:00,,,,100,,2.6
,16.1,Llano River 2018,0.0,,,1012.4,0,,USW00012921,21.7,2018-10-11T02:00:00,,,,90,,2.6
,16.1,Llano River 2018,0.0,,,1012.9,0,,USW00012921,20.6,2018-10-11T03:00:00,,,,70,,2.1
,16.7,Llano River 2018,0.0,,,1013.5,0,,USW00012921,20.0,2018-10-11T04:00:00,,,,70,,2.1
,16.1,Llano River 2018,0.0,,,1014.0,0,,USW00012921,19.4,2018-10-11T05:00:00,,,,70,,2.1
,16.1,Llano River 2018,0.0,,,1014.3,2,,USW00012921,18.9,2018-10-11T06:00:00,,,,30,,1.5
,15.6,Llano River 2018,0.0,,,1014.2,0,,USW00012921,18.3,2018-10-11T07:00:00,,,,10,,2.6
,15.0,Llano River 2018,0.0,,,1014.6,4,,USW00012921,18.3,2018-10-11T08:00:00,,,,10,,2.1
,14.4,Llano River 2018,0.0,,,1014.7,6,,USW00012921,18.3,2018-10-11T09:00:00,,,,20,,2.6
,14.4,Llano River 2018,0.0,,,1014.8,4,,USW00012921,18.3,2018-10-11T10:00:00,,,,40,,2.1
,13.9,Llano River 2018,0.0,,,1015.5,,,USW00012921,17.8,2018-10-11T11:00:00,,,,40,,3.1
,13.3,Llano River 2018,0.0,,,1015.7,4,,USW00012921,17.2,2018-10-11T12:00:00,,,,40,,3.1
,12.8,Llano River 2018,0.0,,,1016.5,4,,USW00012921,17.2,2018-10-11T13:00:00,,,,50,,3.1
,12.8,Llano River 2018,0.0,,,1016.7,,,USW00012921,18.3,2018-10-11T14:00:00,,,,50,,4.6
,12.8,Llano River 2018,0.0,,,1017.6,6,,USW00012921,18.9,2018-10-11T15:00:00,,,,40,,4.1
,13.3,Llano River 2018,0.0,,,1017.8,,,USW00012921,20.0,2018-10-11T16:00:00,,,,70,,4.6
,12.8,Llano River 2018,0.0,,,1017.9,,,USW00012921,20.0,2018-10-11T17:00:00,,,,40,,4.1
,13.3,Llano River 2018,0.0,,,1017.8,6,,USW00012921,20.6,2018-10-11T18:00:00,,,,60,,4.1
,14.4,Llano River 2018,0.0,,,1016.1,,,USW00012921,23.3,2018-10-11T19:00:00,,,,70,,4.6
,15.0,Llano River 2018,0.0,,,1015.2,,,USW00012921,24.4,2018-10-11T20:00:00,,,,80,,5.7
